Journal,Publisher,Business model,APC (€)
Journal of Crystal Growth,Elsevier,Hybrid,2730
Journal of Cultural Cognitive Science,Springer Nature,Hybrid,2390
Journal of Cultural Economics,Springer Nature,Hybrid,2290
Journal of Cultural Heritage,Elsevier,Hybrid,2540
Journal of Cutaneous Immunology and Allergy,Wiley,OA,2570
Journal of Cutaneous Pathology,Wiley,Hybrid,2730
Journal of Cybersecurity and Privacy,MDPI,OA,1028
Journal of Cystic Fibrosis,Elsevier,Hybrid,3710
Journal of Dairy Science,Elsevier,OA,3190
Journal of Dairy Science,Elsevier,Hybrid,3781
"Journal of Data, Information and Management",Springer Nature,Hybrid,2290
Journal of Dental Education,Wiley,Hybrid,2730
Journal of Dentistry,Elsevier,Hybrid,3540
Journal of Dentistry: X,Elsevier,OA,2630
Journal of Dermatological Science,Elsevier,Hybrid,3400
Journal of Destination Marketing & Management,Elsevier,Hybrid,3140
Journal of Development Economics,Elsevier,Hybrid,3540
Journal of Developmental Biology,MDPI,OA,1646
Journal of Developmental and Life-Course Criminology,Springer Nature,Hybrid,2490
Journal of Developmental and Physical Disabilities,Springer Nature,Hybrid,2390
Journal of Dharma Studies,Springer Nature,Hybrid,2390
Journal of Diabetes,Wiley,Hybrid,2500
Journal of Diabetes,Wiley,OA,2550
Journal of Diabetes & Metabolic Disorders,Springer Nature,Hybrid,2690
Journal of Diabetes Investigation,Wiley,OA,2805
Journal of Diabetes Research,Wiley,OA,2356
Journal of Diabetes and Its Complications,Elsevier,Hybrid,2805
Journal of Diabetes and its Complications,Elsevier,Hybrid,2830
Journal of Differential Equations,Elsevier,Hybrid,2570
Journal of Digestive Diseases,Wiley,Hybrid,2450
Journal of Digital Imaging,Springer Nature,Hybrid,3190
Journal of Discrete Algorithms,Elsevier,Hybrid,2104
Journal of Drug Delivery Science and Technology,Elsevier,Hybrid,2860
Journal of Dynamic Behavior of Materials,Springer Nature,Hybrid,2290
Journal of Dynamical and Control Systems,Springer Nature,Hybrid,2690
Journal of Dynamics and Differential Equations,Springer Nature,Hybrid,2290
Journal of Earth Science,Springer Nature,Hybrid,2290
Journal of East Asian Linguistics,Springer Nature,Hybrid,2190
Journal of Eating Disorders,Springer Nature,OA,1690
Journal of Echocardiography,Springer Nature,Hybrid,2590
Journal of Ecology,Wiley,Hybrid,2830
Journal of Ecology and Environment,Springer Nature,OA,1690
Journal of Econometrics,Elsevier,Hybrid,3060
Journal of Economic Behavior & Organization,Elsevier,Hybrid,2270
Journal of Economic Criminology,Elsevier,OA,1370
Journal of Economic Dynamics and Control,Elsevier,Hybrid,2540
Journal of Economic Growth,Springer Nature,Hybrid,3060
Journal of Economic Interaction and Coordination,Springer Nature,Hybrid,2290
Journal of Economic Psychology,Elsevier,Hybrid,2820
Journal of Economic Surveys,Wiley,Hybrid,3240
Journal of Economic Theory,Elsevier,Hybrid,2700
Journal of Economics,Springer Nature,Hybrid,2490
Journal of Economics & Management Strategy,Wiley,Hybrid,2480
Journal of Economics and Business,Elsevier,Hybrid,2410
Journal of Economics and Finance,Springer Nature,Hybrid,2290
"Journal of Economics, Race, and Policy",Springer Nature,Hybrid,2390
Journal of Educational Change,Springer Nature,Hybrid,2490
Journal of Educational Measurement,Wiley,Hybrid,2520
Journal of Elasticity,Springer Nature,Hybrid,2590
Journal of Electric Propulsion,Springer Nature,OA,1090
Journal of Electrical Engineering & Technology,Springer Nature,Hybrid,2490
Journal of Electrical and Computer Engineering,Wiley,OA,854
Journal of Electroanalytical Chemistry,Elsevier,Hybrid,2540
Journal of Electrocardiology,Elsevier,Hybrid,2650
Journal of Electroceramics,Springer Nature,Hybrid,2390
Journal of Electromyography and Kinesiology,Elsevier,Hybrid,3060
Journal of Electron Spectroscopy and Related Phenomena,Elsevier,Hybrid,2700
Journal of Electronic Materials,Springer Nature,Hybrid,2490
Journal of Electronic Testing,Springer Nature,Hybrid,2390
Journal of Electrostatics,Elsevier,Hybrid,2390
Journal of Elliptic and Parabolic Equations,Springer Nature,Hybrid,2390
Journal of Emergency Medicine,Elsevier,Hybrid,2560
Journal of Emergency Nursing,Elsevier,Hybrid,2280
Journal of Empirical Finance,Elsevier,Hybrid,2570
Journal of Empirical Legal Studies,Wiley,Hybrid,2520
Journal of Employment Counseling,Wiley,Hybrid,2220
Journal of Endocrinological Investigation,Springer Nature,Hybrid,3390
Journal of Endodontics,Elsevier,Hybrid,3460
Journal of Endometriosis and Uterine Disorders,Elsevier,OA,1400
Journal of Energy,Wiley,OA,739
Journal of Energy Chemistry,Elsevier,Hybrid,2510
Journal of Energy Storage,Elsevier,Hybrid,2520
Journal of Engineering,Wiley,OA,1650
Journal of Engineering Education,Wiley,Hybrid,3090
Journal of Engineering Mathematics,Springer Nature,Hybrid,2480
Journal of Engineering Research,Elsevier,OA,1000
Journal of Engineering and Technology Management,Elsevier,Hybrid,2540
Journal of English for Academic Purposes,Elsevier,Hybrid,2960
Journal of Environmental Chemical Engineering,Elsevier,Hybrid,2730
Journal of Environmental Economics and Management,Elsevier,Hybrid,3170
Journal of Environmental Health Science and Engineering,Springer Nature,Hybrid,2590
Journal of Environmental Management,Elsevier,Hybrid,3370
Journal of Environmental Psychology,Elsevier,Hybrid,3340
Journal of Environmental Quality,Wiley,Hybrid,1230
Journal of Environmental Radioactivity,Elsevier,Hybrid,3510
Journal of Environmental Sciences,Elsevier,"",2630
Journal of Environmental Sciences,Elsevier,Hybrid,2740
Journal of Environmental Studies and Sciences,Springer Nature,Hybrid,2390
Journal of Environmental and Public Health,Wiley,OA,1340
Journal of Epidemiology and Global Health,Springer Nature,OA,1990
Journal of Equine Rehabilitation,Elsevier,OA,1820
Journal of Equine Veterinary Science,Elsevier,Hybrid,2760
Journal of Esthetic and Restorative Dentistry,Wiley,Hybrid,3040
Journal of Ethnobiology and Ethnomedicine,Springer Nature,OA,2590
Journal of Ethnopharmacology,Elsevier,Hybrid,3190
Journal of Ethology,Springer Nature,Hybrid,2490
Journal of EuCornea,Elsevier,OA,1841
Journal of Eukaryotic Microbiology,Wiley,Hybrid,2580
Journal of Evaluation in Clinical Practice,Wiley,Hybrid,3350
Journal of Evidence-Based Dental Practice,Elsevier,Hybrid,3120
Journal of Evidence-Based Medicine,Wiley,Hybrid,2100
Journal of Evolution Equations,Springer Nature,Hybrid,2290
Journal of Evolutionary Biology,Wiley,Hybrid,2580
Journal of Evolutionary Economics,Springer Nature,Hybrid,2490
Journal of Exercise Science & Fitness,Elsevier,OA,910
Journal of Exotic Pet Medicine,Elsevier,Hybrid,3080
Journal of Experimental & Clinical Cancer Research,Springer Nature,OA,2890
Journal of Experimental Child Psychology,Elsevier,Hybrid,2830
Journal of Experimental Criminology,Springer Nature,Hybrid,2290
Journal of Experimental Marine Biology and Ecology,Elsevier,Hybrid,2820
Journal of Experimental Orthopaedics,Springer Nature,OA,1790
Journal of Experimental Social Psychology,Elsevier,Hybrid,2780
Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,Wiley,Hybrid,3350
Journal of Experimental Zoology Part B Molecular and Developmental Evolution,Wiley,Hybrid,2630
Journal of Experimental and Theoretical Analyses,MDPI,OA,1028
Journal of Exposure Science & Environmental Epidemiology,Springer Nature,Hybrid,3890
Journal of Extracellular Biology,Wiley,OA,2650
Journal of Extracellular Vesicles,Wiley,OA,3780
Journal of Failure Analysis and Prevention,Springer Nature,Hybrid,2390
Journal of Family Business Strategy,Elsevier,Hybrid,3140
Journal of Family Theory & Review,Wiley,Hybrid,2220
Journal of Family Therapy,Wiley,Hybrid,2520
Journal of Family Violence,Springer Nature,Hybrid,2790
Journal of Family and Economic Issues,Springer Nature,Hybrid,2290
Journal of Fetal Medicine,Springer Nature,Hybrid,2690
Journal of Field Ornithology,Wiley,Hybrid,2500
Journal of Field Robotics,Wiley,Hybrid,3710
Journal of Financial Economics,Elsevier,Hybrid,3880
Journal of Financial Intermediation,Elsevier,Hybrid,3500
Journal of Financial Markets,Elsevier,Hybrid,2610
Journal of Financial Services Marketing,Springer Nature,Hybrid,2390
Journal of Financial Services Research,Springer Nature,Hybrid,2190
Journal of Financial Stability,Elsevier,Hybrid,2960
Journal of Fish Biology,Wiley,Hybrid,3400
Journal of Fish Diseases,Wiley,Hybrid,4120
Journal of Fixed Point Theory and Applications,Springer Nature,Hybrid,2290
Journal of Flood Risk Management,Wiley,OA,2700
Journal of Flood Risk Management,Wiley,Hybrid,3000
Journal of Flow Chemistry,Springer Nature,Hybrid,2390
Journal of Fluency Disorders,Elsevier,Hybrid,3480
Journal of Fluids and Structures,Elsevier,Hybrid,3260
Journal of Fluorescence,Springer Nature,Hybrid,3090
Journal of Fluorine Chemistry,Elsevier,Hybrid,3240
Journal of Food Biochemistry,Wiley,Hybrid,3000
Journal of Food Biochemistry,Wiley,OA,2310
Journal of Food Composition and Analysis,Elsevier,Hybrid,2800
Journal of Food Engineering,Elsevier,Hybrid,3700
Journal of Food Measurement and Characterization,Springer Nature,Hybrid,2490
Journal of Food Process Engineering,Wiley,Hybrid,2730
Journal of Food Processing and Preservation,Wiley,Hybrid,2600
Journal of Food Processing and Preservation,Wiley,OA,2310
Journal of Food Protection,Elsevier,OA,1820
Journal of Food Quality,Wiley,Hybrid,2083
Journal of Food Quality,Wiley,OA,2195
Journal of Food Safety,Wiley,Hybrid,2880
Journal of Food Science,Wiley,Hybrid,3450
Journal of Food Science and Technology,Springer Nature,Hybrid,2790
Journal of Foot and Ankle Research,Springer Nature,OA,2290
Journal of Forecasting,Wiley,Hybrid,2580
Journal of Forensic Radiology and Imaging,Elsevier,Hybrid,2192
Journal of Forensic Sciences,Wiley,Hybrid,3450
Journal of Forensic and Legal Medicine,Elsevier,Hybrid,3530
Journal of Forestry Research,Springer Nature,Hybrid,2290
Journal of Formative Design in Learning,Springer Nature,Hybrid,2290
Journal of Fourier Analysis and Applications,Springer Nature,Hybrid,2190
Journal of Fuel Chemistry and Technology,Elsevier,Hybrid,2630
Journal of Function Spaces,Wiley,OA,2195
Journal of Functional Analysis,Elsevier,Hybrid,2160
Journal of Functional Biomaterials,MDPI,OA,2057
Journal of Functional Foods,Elsevier,OA,1970
Journal of Functional Foods,Elsevier,Hybrid,3392
Journal of Functional Morphology and Kinesiology,MDPI,OA,1646
Journal of Fungi,MDPI,OA,2263
Journal of Fusion Energy,Springer Nature,Hybrid,2790
Journal of Gambling Studies,Springer Nature,Hybrid,2390
Journal of Gastroenterology,Springer Nature,Hybrid,3690
Journal of Gastroenterology and Hepatology,Wiley,Hybrid,3760
Journal of Gastrointestinal Cancer,Springer Nature,Hybrid,2790
Journal of Gastrointestinal Surgery,Springer Nature,Hybrid,3190
Journal of General Internal Medicine,Springer Nature,Hybrid,3790
Journal of General Plant Pathology,Springer Nature,Hybrid,2690
Journal of General and Family Medicine,Wiley,OA,2255
Journal of Genetic Counseling,Wiley,Hybrid,3040
Journal of Genetic Counseling,Springer Nature,Hybrid,2480
Journal of Genetics and Genomics,Elsevier,Hybrid,3010
Journal of Geochemical Exploration,Elsevier,Hybrid,3400
Journal of Geodesy,Springer Nature,Hybrid,2590
Journal of Geodynamics,Elsevier,Hybrid,2980
Journal of Geographical Sciences,Springer Nature,Hybrid,2390
Journal of Geographical Systems,Springer Nature,Hybrid,2490
Journal of Geometry,Springer Nature,Hybrid,2290
Journal of Geometry and Physics,Elsevier,Hybrid,2800
Journal of Geophysical Research: Atmospheres,Wiley,Hybrid,3170
Journal of Geophysical Research: Biogeosciences,Wiley,Hybrid,3170
Journal of Geophysical Research: Earth Surface,Wiley,Hybrid,3170
Journal of Geophysical Research: Oceans,Wiley,Hybrid,3170
Journal of Geophysical Research: Planets,Wiley,Hybrid,3170
Journal of Geophysical Research: Solid Earth,Wiley,Hybrid,3170
Journal of Geophysical Research: Space Physics,Wiley,Hybrid,3170
Journal of Geovisualization and Spatial Analysis,Springer Nature,Hybrid,2390
Journal of Geriatric Oncology,Elsevier,Hybrid,3100
Journal of Global Antimicrobial Resistance,Elsevier,OA,1720
Journal of Global Antimicrobial Resistance,Elsevier,Hybrid,2192
Journal of Global Entrepreneurship Research,Springer Nature,Hybrid,2290
Journal of Global Optimization,Springer Nature,Hybrid,2190
Journal of Government and Economics,Elsevier,OA,1500
Journal of Graph Theory,Wiley,Hybrid,3140
Journal of Great Lakes Research,Elsevier,Hybrid,2510
Journal of Grid Computing,Springer Nature,Hybrid,2490
Journal of Gynecology Obstetrics and Human Reproduction,Elsevier,Hybrid,2800
Journal of Hand Surgery,Elsevier,Hybrid,3150
Journal of Hand Surgery Global Online,Elsevier,OA,1820
Journal of Hand Therapy,Elsevier,Hybrid,2850
Journal of Happiness Studies,Springer Nature,Hybrid,2490
Journal of Hardware and Systems Security,Springer Nature,Hybrid,2290
Journal of Hazardous Materials,Elsevier,Hybrid,3630
Journal of Hazardous Materials Advances,Elsevier,OA,1280
Journal of Hazardous Materials Letters,Elsevier,OA,1140
Journal of Health Economics,Elsevier,Hybrid,3630
"Journal of Health, Population and Nutrition",Springer Nature,OA,2090
Journal of Healthcare Engineering,Wiley,OA,2195
Journal of Healthcare Informatics Research,Springer Nature,Hybrid,2490
Journal of Healthcare Quality Research,Elsevier,Hybrid,2630
Journal of Healthcare Risk Management,Wiley,Hybrid,2630
Journal of Heart and Lung Transplantation,Elsevier,Hybrid,3010
Journal of Hematology & Oncology,Springer Nature,OA,3690
Journal of Hematopathology,Springer Nature,Hybrid,2790
Journal of Hepato-Biliary-Pancreatic Sciences,Wiley,Hybrid,3100
Journal of Hepatology,Elsevier,Hybrid,4510
Journal of Herbal Medicine,Elsevier,Hybrid,2190
Journal of Heterocyclic Chemistry,Wiley,Hybrid,2580
Journal of Heuristics,Springer Nature,Hybrid,2290
Journal of High Energy Astrophysics,Elsevier,Hybrid,2120
Journal of High Technology Management Research,Elsevier,Hybrid,2920
Journal of Historical Geography,Elsevier,Hybrid,2070
Journal of Historical Sociology,Wiley,Hybrid,2580
Journal of Homotopy and Related Structures,Springer Nature,Hybrid,2290
Journal of Hospital Infection,Elsevier,Hybrid,3230
Journal of Hospital Medicine,Wiley,Hybrid,2630
"Journal of Hospitality, Leisure, Sport & Tourism Education",Elsevier,Hybrid,3000
Journal of Housing Economics,Elsevier,Hybrid,2950
Journal of Housing and the Built Environment,Springer Nature,Hybrid,2290
Journal of Human Evolution,Elsevier,Hybrid,3800
Journal of Human Genetics,Springer Nature,Hybrid,3990
Journal of Human Hypertension,Springer Nature,Hybrid,3390
Journal of Human Nutrition and Dietetics,Wiley,Hybrid,3450
Journal of Human Rights and Social Work,Springer Nature,Hybrid,2290
Journal of Hydro-environment Research,Elsevier,Hybrid,2740
Journal of Hydrodynamics,Springer Nature,Hybrid,2390
Journal of Hydrology,Elsevier,Hybrid,3320
Journal of Hydrology X,Elsevier,OA,1640
Journal of Hydrology: Regional Studies,Elsevier,OA,2240
Journal of ISAKOS,Elsevier,OA,1370
Journal of Iberian Geology,Springer Nature,Hybrid,2290
Journal of Imaging,MDPI,OA,1646
Journal of Immigrant and Minority Health,Springer Nature,Hybrid,2690
Journal of Immunological Methods,Elsevier,Hybrid,2300
Journal of Immunology Research,Wiley,OA,2195
Journal of Immunology and Regenerative Medicine,Elsevier,Hybrid,3190
Journal of Inclusion Phenomena and Macrocyclic Chemistry,Springer Nature,Hybrid,2790
Journal of Indian Council of Philosophical Research,Springer Nature,Hybrid,2290
Journal of Indian Philosophy,Springer Nature,Hybrid,2290
Journal of Industrial Ecology,Wiley,Hybrid,2830
Journal of Industrial Information Integration,Elsevier,Hybrid,2540
Journal of Industrial Microbiology & Biotechnology,Springer Nature,Hybrid,2590
Journal of Industrial and Business Economics,Springer Nature,Hybrid,2490
Journal of Industrial and Engineering Chemistry,Elsevier,Hybrid,2280
"Journal of Industry, Competition and Trade",Springer Nature,Hybrid,2190
Journal of Inequalities and Applications,Springer Nature,OA,1590
Journal of Infection,Elsevier,Hybrid,3650
Journal of Infection and Chemotherapy,Elsevier,Hybrid,2420
Journal of Infection and Public Health,Elsevier,OA,1820
Journal of Inflammation,Springer Nature,OA,2690
Journal of Information Security and Applications,Elsevier,Hybrid,2610
Journal of Information Technology,Springer Nature,Hybrid,2480
Journal of Information and Intelligence,Elsevier,OA,1810
Journal of Informetrics,Elsevier,Hybrid,3610
"Journal of Infrared, Millimeter, and Terahertz Waves",Springer Nature,Hybrid,2690
Journal of Infrastructure Intelligence and Resilience,Elsevier,OA,1460
Journal of Infrastructure Preservation and Resilience,Springer Nature,OA,1190
Journal of Inherited Metabolic Disease,Wiley,Hybrid,2750
Journal of Inherited Metabolic Disease,Springer Nature,Hybrid,2990
Journal of Innovation & Knowledge,Elsevier,OA,1640
Journal of Innovation and Entrepreneurship,Springer Nature,OA,1240
Journal of Inorganic Biochemistry,Elsevier,Hybrid,3310
Journal of Inorganic and Organometallic Polymers and Materials,Springer Nature,Hybrid,2890
Journal of Insect Behavior,Springer Nature,Hybrid,2590
Journal of Insect Conservation,Springer Nature,Hybrid,2790
Journal of Insect Physiology,Elsevier,Hybrid,2850
Journal of Integrative Agriculture,Elsevier,Hybrid,2630
Journal of Integrative Medicine,Elsevier,Hybrid,1640
Journal of Integrative Plant Biology,Wiley,Hybrid,2160
Journal of Intellectual Disability Research,Wiley,Hybrid,2980
Journal of Intelligence,MDPI,OA,1440
Journal of Intelligent & Robotic Systems,Springer Nature,Hybrid,2390
Journal of Intelligent Information Systems,Springer Nature,Hybrid,2490
Journal of Intelligent Manufacturing,Springer Nature,Hybrid,2390
Journal of Intensive Care,Springer Nature,OA,2090
Journal of Intensive Medicine,Elsevier,OA,1000
Journal of Interactive Marketing,Elsevier,Hybrid,1640
Journal of Interdisciplinary Nanomedicine,Wiley,OA,1553
Journal of Interior Design,Wiley,Hybrid,2150
Journal of Internal Medicine,Wiley,Hybrid,3610
"Journal of International Accounting, Auditing and Taxation",Elsevier,Hybrid,2750
Journal of International Business Policy,Springer Nature,Hybrid,2290
Journal of International Business Studies,Springer Nature,Hybrid,3390
Journal of International Development,Wiley,Hybrid,2520
Journal of International Economics,Elsevier,Hybrid,2990
Journal of International Entrepreneurship,Springer Nature,Hybrid,2390
Journal of International Financial Management & Accounting,Wiley,Hybrid,2270
"Journal of International Financial Markets, Institutions & Money",Elsevier,Hybrid,2490
Journal of International Humanitarian Action,Springer Nature,OA,690
Journal of International Management,Elsevier,Hybrid,3130
Journal of International Migration and Integration,Springer Nature,Hybrid,2190
Journal of International Money and Finance,Elsevier,Hybrid,2570
Journal of Internet Services and Applications,Springer Nature,OA,1190
Journal of Interprofessional Education & Practice,Elsevier,Hybrid,2500
Journal of Interventional Cardiac Electrophysiology,Springer Nature,Hybrid,2690
Journal of Interventional Cardiology,Wiley,Hybrid,2500
Journal of Interventional Cardiology,Wiley,OA,1848
Journal of Invertebrate Pathology,Elsevier,Hybrid,2830
Journal of Investigative Dermatology,Elsevier,Hybrid,3100
Journal of Investigative Dermatology Symposium Proceedings,Elsevier,Hybrid,2920
Journal of Investigative Dermatology Symposium Proceedings,Elsevier,"",2850
Journal of Investigative Psychology and Offender Profiling,Wiley,Hybrid,2170
Journal of Investigative and Clinical Dentistry,Wiley,Hybrid,2083
Journal of Ionic Liquids,Elsevier,OA,1090
Journal of Iron and Steel Research International,Springer Nature,Hybrid,2490
Journal of Joint Surgery and Research,Elsevier,OA,1610
Journal of King Saud University - Computer and Information Sciences,Elsevier,OA,1230
Journal of King Saud University - Science,Elsevier,OA,1320
Journal of Labelled Compounds and Radiopharmaceuticals,Wiley,Hybrid,2880
Journal of Labor Research,Springer Nature,Hybrid,2390
Journal of Labor and Society,Wiley,Hybrid,2083
Journal of Latin American & Caribbean Anthropology,Wiley,Hybrid,2580
Journal of Law and Society,Wiley,Hybrid,2420
Journal of Leadership Studies,Wiley,Hybrid,2500
Journal of Leather Science and Engineering,Springer Nature,OA,1000
Journal of Legal Studies Education,Wiley,Hybrid,2220
Journal of Leukocyte Biology,Wiley,Hybrid,3050
Journal of Linguistic Anthropology,Wiley,Hybrid,2580
Journal of Lipid Research,Elsevier,OA,2550
Journal of Lipids,Wiley,OA,854
Journal of Liver Transplantation,Elsevier,OA,1800
"Journal of Logic, Language and Information",Springer Nature,Hybrid,2290
Journal of Logical and Algebraic Methods in Programming,Elsevier,Hybrid,2560
Journal of Loss Prevention in the Process Industries,Elsevier,Hybrid,3270
Journal of Low Power Electronics and Applications,MDPI,OA,1646
Journal of Low Temperature Physics,Springer Nature,Hybrid,2490
Journal of Luminescence,Elsevier,Hybrid,2310
Journal of Macroeconomics,Elsevier,Hybrid,2490
Journal of Magnetic Resonance,Elsevier,Hybrid,3240
Journal of Magnetic Resonance Imaging,Wiley,Hybrid,3000
Journal of Magnetic Resonance Open,Elsevier,OA,1370
Journal of Magnetism and Magnetic Materials,Elsevier,Hybrid,2740
Journal of Mammalian Evolution,Springer Nature,Hybrid,2690
Journal of Mammary Gland Biology and Neoplasia,Springer Nature,Hybrid,2990
Journal of Mammary Gland Biology and Neoplasia,Springer Nature,OA,2990
Journal of Management Control,Springer Nature,Hybrid,2290
Journal of Management Studies,Wiley,Hybrid,3140
Journal of Management and Governance,Springer Nature,Hybrid,2290
Journal of Manipulative and Physiological Therapeutics,Elsevier,Hybrid,2650
Journal of Manufacturing Processes,Elsevier,Hybrid,3010
Journal of Manufacturing Systems,Elsevier,Hybrid,3280
Journal of Manufacturing and Materials Processing,MDPI,OA,1646
Journal of Marine Science and Application,Springer Nature,Hybrid,2790
Journal of Marine Science and Engineering,MDPI,OA,2263
Journal of Marine Science and Technology,Springer Nature,Hybrid,2690
Journal of Marine Sciences,Wiley,OA,739
Journal of Marine Systems,Elsevier,Hybrid,2820
Journal of Marital and Family Therapy,Wiley,Hybrid,2320
Journal of Maritime Archaeology,Springer Nature,Hybrid,2290
Journal of Marketing Analytics,Springer Nature,Hybrid,2290
Journal of Marriage and Family,Wiley,Hybrid,3240
Journal of Mass Spectrometry,Wiley,Hybrid,3350
Journal of Mass Spectrometry & Advances in the Clinical Lab,Elsevier,OA,820
Journal of Material Cycles and Waste Management,Springer Nature,Hybrid,2490
Journal of Materials Engineering and Performance,Springer Nature,Hybrid,2390
Journal of Materials Processing Technology,Elsevier,Hybrid,3480
Journal of Materials Research,Springer Nature,Hybrid,2590
Journal of Materials Research and Technology,Elsevier,OA,1190
Journal of Materials Science,Springer Nature,Hybrid,2690
Journal of Materials Science & Technology,Elsevier,Hybrid,2740
Journal of Materials Science: Materials in Electronics,Springer Nature,Hybrid,2690
Journal of Materials Science: Materials in Medicine,Springer Nature,OA,1890
Journal of Materials Science: Materials in Medicine,Springer Nature,Hybrid,2590
Journal of Materiomics,Elsevier,OA,1600
Journal of Mathematical Analysis and Applications,Elsevier,Hybrid,2800
Journal of Mathematical Behavior,Elsevier,Hybrid,2610
Journal of Mathematical Biology,Springer Nature,Hybrid,2190
Journal of Mathematical Chemistry,Springer Nature,Hybrid,2790
Journal of Mathematical Economics,Elsevier,Hybrid,2400
Journal of Mathematical Fluid Mechanics,Springer Nature,Hybrid,2490
Journal of Mathematical Imaging and Vision,Springer Nature,Hybrid,2190
Journal of Mathematical Psychology,Elsevier,Hybrid,2500
Journal of Mathematical Sciences,Springer Nature,Hybrid,2490
Journal of Mathematics,Wiley,OA,1848
Journal of Mathematics Teacher Education,Springer Nature,Hybrid,2390
Journal of Mathematics in Industry,Springer Nature,OA,1190
Journal of Maxillofacial and Oral Surgery,Springer Nature,Hybrid,2790
Journal of Medical Case Reports,Springer Nature,OA,2290
Journal of Medical Humanities,Springer Nature,Hybrid,2390
Journal of Medical Imaging and Radiation Oncology,Wiley,Hybrid,2780
Journal of Medical Imaging and Radiation Sciences,Elsevier,Hybrid,2650
Journal of Medical Mycology,Elsevier,Hybrid,2640
Journal of Medical Primatology,Wiley,Hybrid,2520
Journal of Medical Radiation Sciences,Wiley,OA,2420
Journal of Medical Systems,Springer Nature,Hybrid,3390
Journal of Medical Toxicology,Springer Nature,Hybrid,3390
Journal of Medical Ultrasonics,Springer Nature,Hybrid,2890
Journal of Medical Virology,Wiley,Hybrid,3300
Journal of Medical and Biological Engineering,Springer Nature,Hybrid,2490
Journal of Membrane Computing,Springer Nature,Hybrid,2390
Journal of Membrane Science,Elsevier,Hybrid,4120
Journal of Membrane Science Letters,Elsevier,OA,1140
Journal of Memory and Language,Elsevier,Hybrid,3430
Journal of Metamorphic Geology,Wiley,Hybrid,3760
Journal of Meteorological Research,Springer Nature,Hybrid,2690
Journal of Micro-Bio Robotics,Springer Nature,Hybrid,2190
Journal of Microbiological Methods,Elsevier,Hybrid,2510
"Journal of Microbiology, Immunology and Infection",Elsevier,OA,1820
Journal of Microscopy,Wiley,Hybrid,3760
Journal of Midwifery & Women's Health,Wiley,Hybrid,2830
Journal of Migration and Health,Elsevier,OA,1740
Journal of Minimally Invasive Gynecology,Elsevier,Hybrid,2740
Journal of Molecular Biology,Elsevier,Hybrid,3620
Journal of Molecular Evolution,Springer Nature,Hybrid,2890
Journal of Molecular Graphics and Modelling,Elsevier,Hybrid,3110
Journal of Molecular Histology,Springer Nature,Hybrid,2590
Journal of Molecular Liquids,Elsevier,Hybrid,3250
Journal of Molecular Medicine,Springer Nature,Hybrid,3290
Journal of Molecular Modeling,Springer Nature,Hybrid,2890
Journal of Molecular Neuroscience,Springer Nature,Hybrid,3390
Journal of Molecular Pathology,MDPI,OA,1028
Journal of Molecular Recognition,Wiley,Hybrid,2880
Journal of Molecular Spectroscopy,Elsevier,Hybrid,2740
Journal of Molecular Structure,Elsevier,Hybrid,2940
Journal of Molecular and Cellular Cardiology,Elsevier,Hybrid,3120
Journal of Molecular and Cellular Cardiology Plus,Elsevier,OA,1730
Journal of Monetary Economics,Elsevier,Hybrid,3390
"Journal of Money, Credit and Banking",Wiley,Hybrid,2880
Journal of Morphology,Wiley,Hybrid,3400
Journal of Mountain Science,Springer Nature,Hybrid,2290
Journal of Multi-Criteria Decision Analysis,Wiley,Hybrid,2170
Journal of Multicultural Counseling and Development,Wiley,Hybrid,2220
Journal of Multinational Financial Management,Elsevier,Hybrid,2620
Journal of Multivariate Analysis,Elsevier,Hybrid,2790
Journal of Muscle Research and Cell Motility,Springer Nature,Hybrid,2890
Journal of Nanobiotechnology,Springer Nature,OA,2690
Journal of Nanomaterials,Wiley,OA,2195
Journal of Nanoparticle Research,Springer Nature,Hybrid,2690
Journal of Nanostructure in Chemistry,Springer Nature,Hybrid,2690
Journal of Nanotechnology,Wiley,OA,854
Journal of Nanotheranostics,MDPI,OA,1028
Journal of Natural Gas Science and Engineering,Elsevier,Hybrid,3020
Journal of Natural Medicines,Springer Nature,Hybrid,3390
Journal of Natural Pesticide Research,Elsevier,OA,1730
Journal of Neonatal Nursing,Elsevier,Hybrid,2460
Journal of Nephrology,Springer Nature,Hybrid,3290
Journal of Network and Computer Applications,Elsevier,Hybrid,2860
Journal of Network and Systems Management,Springer Nature,Hybrid,2190
Journal of Neural Transmission,Springer Nature,Hybrid,3190
Journal of Neuro-Oncology,Springer Nature,Hybrid,3190
Journal of NeuroEngineering and Rehabilitation,Springer Nature,OA,2790
Journal of NeuroVirology,Springer Nature,Hybrid,3390
Journal of Neurochemistry,Wiley,Hybrid,4070
Journal of Neurodevelopmental Disorders,Springer Nature,OA,2290
Journal of Neuroendocrinology,Wiley,Hybrid,3450
Journal of Neuroimaging,Wiley,Hybrid,2830
Journal of Neuroimmune Pharmacology,Springer Nature,Hybrid,3390
Journal of Neuroimmunology,Elsevier,Hybrid,3200
Journal of Neuroinflammation,Springer Nature,OA,2890
Journal of Neurolinguistics,Elsevier,Hybrid,2650
Journal of Neurology,Springer Nature,Hybrid,3290
Journal of Neuropsychology,Wiley,Hybrid,2830
Journal of Neuroradiology,Elsevier,Hybrid,3580
