"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner"
"Neuro-Oncology","Neurology and Psychiatry","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Society for Neuro-oncology (SNO)","Society","UK","https://academic.oup.com/neuro-oncology","3573","6.974","Q1 (Cancer Research; Neurology; Oncology)","178","No"
"Neuro-Oncology Advances","Neurology and Psychiatry","Oxford University Press (OUP)","University Press associated with a society","OA","Society for NeuroOncology (SNO); the European Association of Neuro-Oncology (EANO)","Society","UK","https://academic.oup.com/noa","2158","1.472","Q1 (Neurology; Oncology; Surgery)","33","No"
"Neuro-Oncology Practice","Neurology and Psychiatry","Oxford University Press (OUP)","University Press associated with a society","Hybrid","Society for NeuroOncology (SNO); the European Association of Neuro-Oncology (EANO)","Society","UK","https://academic.oup.com/nop/","2632","0.901","Q2 (Medicine; Neurology; Oncology)","34","No"
"NeuroImage: Clinical","Neurology and Psychiatry","Elsevier","For-profit","OA","","","Netherlands","https://www.journals.elsevier.com/neuroimage-clinical","2828","1.566","Q1 (Cognitive Neuroscience; Neurology; Radiology, Nuclear Medicine and Imaging)","106","No"
"Neurochirurgie","Neurology and Psychiatry","Elsevier","For-profit associated with a society","","Société Française de Neurochirurgie (SFN); Société de Neurochirurgie de Langue Française (SNCLF)","Society","Netherlands","https://www.sciencedirect.com/journal/neurochirurgie","","0.484","Q2 (Surgery)","38","No"
"Neurodegenerative Diseases","Neurology and Psychiatry","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/ndd","2836","0.852","Q2 (Neurology)","70","No"
"Neurologia","Neurology and Psychiatry","Elsevier","For-profit associated with a society","OA diamond","Sociedad Espanola de Neurologia","Society","Netherlands","https://www.sciencedirect.com/journal/neurologia","0","0.791","Q2 (Medicine; Neurology)","53","No"
"Neurological Research","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","USA","https://www.tandfonline.com/journals/yner20","4123","0.549","Q2 (Medicine)","88","No"
"Neurological Sciences","Neurology and Psychiatry","Springer Nature","For-profit associated with a society","Hybrid","Italian Society of Neurology (SIN)","Society","Germany/UK","https://link.springer.com/journal/10072","3002","0.821","Q1 (Dermatology)","90","No"
"Neurology","Neurology and Psychiatry","Wolters Kluwer","For-profit associated with a society","Hybrid","American Academy of Neurology","","Netherlands","https://www.neurology.org/journal/wnl","3643","2.401","Q1 (Neurology)","422","No"
"Neurology Clinical Practice","Neurology and Psychiatry","American Academy of Neurology Journals","Non-profit","Hybrid","American Academy of Neurology Journals","","","https://www.neurology.org/journal/cpj","4292","0.818","Q2 (Neurology)","46","No"
"Neurology Genetics","Neurology and Psychiatry","American Academy of Neurology Journals","Non-profit","OA","American Academy of Neurology Journals","","USA","https://www.neurology.org/journal/nxg","2257","1.105","Q1 (Neurology)","41","No"
"Neuromuscular Disorders","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","World Muscle Society","Society","Netherlands","https://www.sciencedirect.com/journal/neuromuscular-disorders","3134","0.885","Q1 (Pediatrics, Perinatology and Child Health)","116","No"
"Neuropathology and Applied Neurobiology","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","British Neuropathological Society","Society","USA","https://onlinelibrary.wiley.com/journal/13652990","2334","1.593","Q1 (Histology; Neurology; Pathology and Forensic Medicine; Physiology)","111","No"
"Neurophysiologie Clinique","Neurology and Psychiatry","Elsevier","For-profit associated with a society","","Société de Neurophysiologie Clinique de Langue Française (SNCLF)","Society","Netherlands","https://www.sciencedirect.com/journal/neurophysiologie-clinique","","0.871","Q2 (Medicine; Neurology; Physiology)","78","No"
"Neuropsychiatric Disease and Treatment","Neurology and Psychiatry","Taylor & Francis Group","For-profit","OA","","","USA","https://www.dovepress.com/neuropsychiatric-disease-and-treatment-journal","2370","0.913","Q2 (Psychiatry and Mental Health)","98","No"
"Neuropsychological Rehabilitation","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","USA","https://www.tandfonline.com/journals/pnrh20","1570","0.804","Q1 (Arts and Humanities; Rehabilitation)","88","No"
"Neuroradiology","Neurology and Psychiatry","Springer Nature","For-profit associated with a society","Hybrid","European Society of Neuroradiology; Japanese Society of Neuroradiology","Society","Germany/UK","https://link.springer.com/journal/234","2618","0.843","Q1 (Radiology, Nuclear Medicine and Imaging)","109","No"
"Neurorehabilitation","Neurology and Psychiatry","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/nrea","","0.552","Q2 (Physical Therapy, Sports Therapy and Rehabilitation; Rehabilitation)","82","No"
"Neurosurgical Review","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany/UK","https://link.springer.com/journal/10143","2763","0.978","Q1 (Medicine; Surgery)","77","No"
"Neurotherapeutics","Neurology and Psychiatry","Elsevier","For-profit associated with a society","OA","American Society for Experimental NeuroTherapeutics","Society","Netherlands","https://www.sciencedirect.com/journal/neurotherapeutics","3762","2.063","Q1 (Neurology; Pharmacology)","143","No"
"New Zealand Medical Journal","Clinical/Medicine","Pasifika Medical Association Group","Non-profit","","","","New Zealand","https://nzmj.org.nz/","","0.455","Q3 (Medicine)","60","No"
"Nordic Journal of Psychiatry","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","Hybrid","Nordic Psychiatric Association","Society","USA","https://www.tandfonline.com/journals/ipsc20","2767","0.757","Q2 (Psychiatry and Mental Health)","69","No"
"One Health","Generalist","Elsevier","For-profit associated with a society","OA","International Federation for Tropical Medicine","","Netherlands","https://www.sciencedirect.com/journal/one-health","1589","1.202","Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health)","43","No"
"Parasites, Hosts and Diseases","Infectious Diseases","The Korean Society for Parasitology and Tropical Medicine","Non-profit","OA","The Korean Society for Parasitology and Tropical Medicine","Society","South Korea","https://www.parahostdis.org/index.php","","0.403","Q3 (Infectious Diseases; Parasitology)","51","No"
"Peer Community In Health and Movement Sciences","Sport Science","Peer Community In","Non-profit","","Peer Community In","","France","https://healthmovsci.peercommunityin.org/","","","","","No"
"Peer Community In Infections","Infectious Diseases","Peer Community In","Non-profit","","Peer Community In","","France","https://infections.peercommunityin.org/","","","","","No"
"Peer Community in Registered Reports","Clinical/Medicine","Peer Community In","Non-profit","","","","France","https://rr.peercommunityin.org/about/about","","","","","No"
"Pflügers Archiv - European Journal of Physiology","Physiology","Springer Nature","For-profit associated with a society","Hybrid","German Physiological Society","Society","Germany / UK","https://link.springer.com/journal/424","2478","1.062","Q1 (Clinical Biochemistry)","151","No"
"Physiological Reviews","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","USA","https://journals.physiology.org/journal/physrev","4096","12.167","Q1 (Medicine; Molecular Biology; Physiology)","401","No"
"Physiology","Physiology","American Physiological Society","Non-profit","","American Physiological Society","Society","USA","https://journals.physiology.org/journal/physiologyonline","","1.873","Q1 (Physiology)","149","No"
"Plos Neglected Tropical Diseases","Infectious Diseases","Public Library of Science (PLoS)","Non-profit","OA","Public Library of Science (PLoS)","","USA","https://journals.plos.org/plosntds/","2236","1.37","Q1 (Infectious Diseases; Pharmacology, Toxicology and Pharmaceutics; Public Health, Environmental and Occupational Health)","172","No"
"Prescrire","Clinical/Medicine","Association mieux prescrire","Non-profit","","Association mieux prescrire","Society","France","https://www.prescrire.org/","","","","","No"
"Prescrire International","Clinical/Medicine","Association mieux prescrire","Non-profit","","Association mieux prescrire","Society","France","https://english.prescrire.org/en/Summary.aspx","","0.203","Q3 (Pharmacology)","14","No"
"Psychiatric Genetics","Neurology and Psychiatry","Wolters Kluwer Medknow Publications","For-profit","Hybrid","","","","https://journals.lww.com/psychgenetics/pages/default.aspx","2092","0.468","Q3 (Genetics; Psychiatry and Mental Health)","65","No"
"Psychiatry Research","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/psychiatry-research","2631","1.606","Q1 (Biological Psychiatry; Psychiatry and Mental Health)","187","No"
"Psychological Medicine","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press","Hybrid","","","UK","https://www.cambridge.org/core/journals/psychological-medicine","2732","2.424","Q1 (Applied Psychology; Psychiatry and Mental Health)","251","No"
"Psychology of Addictive Behaviors","Neurology and Psychiatry","American Psychological Association (APA)","Non-profit","Hybrid","American Psychological Association (APA)","Society","USA","https://www.apa.org/pubs/journals/adb/","3510","1.37","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health)","127","No"
"Research in Autism","Neurology and Psychiatry","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/journal/research-in-autism","","0.828","Q2","100","No"
"Schizophrenia","Neurology and Psychiatry","Springer Nature","For-profit associated with a society","OA","Schizophrenia International Research Society","Society","Germany/UK","https://www.nature.com/npjschz/","3265","1.483","Q1 (Biological Psychiatry; Clinical Psychology; Psychiatry and Mental Health)","44","No"
"Schizophrenia Bulletin","Neurology and Psychiatry","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/schizophreniabulletin","2920","2.138","Q1 (Psychiatry and Mental Health)","228","No"
"Science Translational Medicine","Clinical/Medicine","American Association for the Advancement of Science (AAAS)","Non-profit","Hybrid","American Association for the Advancement of Science","Society","USA","https://www.science.org/journal/stm","1538","6.722","Q1 (Medicine)","303","No"
"Seminars in Neurology","Neurology and Psychiatry","Thieme Medical Publishers","For-profit","Hybrid","","","Germany","https://lp.thieme.de/journals/seminars-in-neurology/0271-8235","1524","0.68","Q2 (Neurology)","88","No"
"Sleep Medicine","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","World Sleep Society; International Pediatric Sleep Association","Society","Netherlands","https://www.sciencedirect.com/journal/sleep-medicine","2738","1.231","Q1 (Medicine)","159","No"
"Sleep Medicine Reviews","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/sleep-medicine-reviews","2838","4.209","Q1 (Neurology; Physiology; Pulmonary and Respiratory Medicine)","192","No"
"Social Psychiatry and Psychiatric Epidemiology","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany/UK","https://link.springer.com/journal/127","3491","1.887","Q1 (Epidemiology; Health; Psychiatry and Mental Health; Social Psychology)","152","No"
"Stroke","Neurology and Psychiatry","American Heart Association","Non-profit","Hybrid","American Heart Association","Society","","https://www.ahajournals.org/journal/str","3464","2.659","Q1 (Advanced and Specialized Nursing; Cardiology and Cardiovascular Medicine; Medicine; Neurology; Neuroscience)","370","No"
"Stroke and Vascular Neurology","Neurology and Psychiatry","BMJ Group","Non-profit","OA","Chinese Stroke Association","Society","UK","https://svn.bmj.com/","1858","1.935","Q1 (Cardiology and Cardiovascular Medicine; Neurology)","46","No"
"The American Journal of Chinese Medicine","Clinical/Medicine","World Scientific Publishing","For-profit","","","","Singapore","https://www.worldscientific.com/worldscinet/ajcm","","1.09","Q1 (Complementary and Alternative Medicine; Medicine)","82","No"
"The American Journal of Drug Alcohol Abuse","Neurology and Psychiatry","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/iada20","","0.886","Q2 (Clinical Psychology; Medicine; Psychiatry and Mental Health)","85","No"
"The American Journal of Geriatric Psychiatry","Aging","Elsevier","For-profit associated with a society","Hybrid","American Association for Geriatric Psychiatry (AAGP)","Society","Netherlands","https://www.ajgponline.org/","3194","1.378","Q1 (Geriatrics and Gerontology; Psychiatry and Mental Health)","150","No"
"The American Journal of Medical Sciences","Clinical/Medicine","Elsevier","For-profit associated with a society","","Southern Society for Clinical Investigation (SSCI)","Society","Netherlands","https://www.sciencedirect.com/journal/the-american-journal-of-the-medical-sciences","","0.671","Q2","106","No"
"The American Journal of Medicine","Clinical/Medicine","Elsevier","For-profit associated with a society","Hybrid","Alliance for Academic Internal Medicine","","Netherlands","https://www.amjmed.com/","2624","1.002","Q1 (Medicine)","262","No"
"The American Journal of Sports Medicine","Sport Science","Sage Publishing","For-profit associated with a society","","American Orthopaedic Society for Sports Medicine","Society","USA","https://journals.sagepub.com/home/ajs","","2.26","Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","277","No"
"The American Journal on Addictions","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","","American Academy of Addiction Psychiatry","","USA","https://onlinelibrary.wiley.com/journal/15210391","","0.943","Q1 (Medicine)","92","No"
"The Annals of Clinical Psychiatry","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","","American Academy of Clinical Psychiatrists","","USA","https://journals.sagepub.com/home/acya","","0.393","Q3 (Medicine; Psychiatry and Mental Health)","79","No"
"The BMJ","Clinical/Medicine","BMJ Group","Non-profit","OA","","","UK","https://www.bmj.com/","4128","2.976","Q1 (Medicine)","519","No"
"The British Journal of Psychiatry","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","Hybrid","Royal College of Psychiatrists","","UK","https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry","3463","2.471","Q1 (Medicine; Psychiatry and Mental Health)","264","No"
"The Canadian Journal of Psychiatry","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","Canadian Psychiatric Association","Society","USA","https://journals.sagepub.com/home/cpa","543","1.425","Q1 (Psychiatry and Mental Health)","144","No"
"The Clinical Neuropsychologist","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/ntcn20","3765","0.968","Q1 (Arts and Humanities; Medicine; Neuropsychology and Physiological Psychology)","101","No"
"The International Journal of Aging and Human Development","Aging","Sage Publishing","For-profit","","-","","USA","https://journals.sagepub.com/home/ahdb","","0.792","Q2 (Developmental and Educational Psychology; Geriatrics and Gerontology)","72","No"
"The International Journal of Psychiatry in Medicine","Neurology and Psychiatry","Sage Publishing","For-profit","","","","USA","https://journals.sagepub.com/home/ijpb","","0.622","Q3 (Psychiatry and Mental Health)","64","No"
"The Journal of Clinical Psychiatry","Neurology and Psychiatry","Physicians Postgraduate Press","Non-profit","Hybrid","American Society for Clinical Psychopharmacology","Society","USA","https://www.psychiatrist.com/jcp/","3245","1.494","Q1 (Medicine; Psychiatry and Mental Health)","236","No"
"The Journal of Neuropsychiatry and Clinical Neuroscience","Neurology and Psychiatry","American Neuropsychiatric Association","Non-profit","","","","","https://www.appi.org/jncn","","0.903","","120","No"
"The Journal of Nutrition Health and Aging","Nutrition","Elsevier","For-profit","OA","SERDI Publisher","","France","https://www.sciencedirect.com/journal/the-journal-of-nutrition-health-and-aging","1723","1.23","Q1 (Geriatrics and Gerontology; Medicine; Nutrition and Dietetics)","111","No"
"The Journal of Physiological Sciences","Physiology","Elsevier","For-profit associated with a society","OA","the Physiological Society of Japan","Society","USA","https://www.sciencedirect.com/journal/the-journal-of-physiological-sciences","920","0.791","Q2 (Physiology)","62","No"
"The Journal of Sexual Medicine","Clinical/Medicine","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/jsm","1297","0.907","Q1 (Obstetrics and Gynecology; Reproductive Medicine; Urology)","145","No"
"The Journals of Gerontology Series A: Biological Sciences and Medical Sciences","Aging","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/biomedgerontology?login=false","3126","1.334","Q1 (Geriatrics and Gerontology)","230","No"
"The Journals of Gerontology Series B: Psychological Sciences and Social Sciences","Aging","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/psychsocgerontology?login=false","2999","1.995","Q1 (Clinical Psychology; Geriatrics and Gerontology; Gerontology; Health; Life-span and Life-course Studies; Medicine; Social Psychology; Sociology and Political Science)","186","No"
"The Lancet","Clinical/Medicine","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.thelancet.com/","4621","12.113","Q1 (Medicine)","936","No"
"The Lancet Neurology","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.thelancet.com/journals/laneur/home","4883","11.729","Q1 (Neurology)","379","No"
"The Lancet Psychiatry","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.thelancet.com/journals/lanpsy/home","5085","7.458","Q1 (Biological Psychiatry; Psychiatry and Mental Health)","160","No"
"The Neurologist","Neurology and Psychiatry","Wolters Kluwer","For-profit","","","","Netherlands","https://journals.lww.com/theneurologist/pages/default.aspx","","0.302","Q3 (Medicine; Neurology)","68","No"
"The New England Journal of Medicine","Clinical/Medicine","Massachusetts Medical Society","Non-profit","Hybrid","Massachusetts Medical Society","Society","USA","https://www.nejm.org/","19","19.076","Q1 (Medicine)","1231","No"
"The World Journal of Biological Psychiatry","Neurology and Psychiatry","Taylor & Francis Group","For-profit associated with a society","Hybrid","World Federation of Societies of Biological Psychiatry","","USA","https://www.tandfonline.com/journals/iwbp20","2839","1.292","Q1 (Medicine; Psychiatry and Mental Health)","88","No"
"Therapeutic Advances in Neurological Disorders","Neurology and Psychiatry","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/tana","1929","1.614","Q1 (Neurology; Pharmacology)","75","No"
"Transboundary and Emerging Diseases","Infectious Diseases","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/tbed","3421","0.919","Q1 (Immunology and Microbiology; Medicine; Veterinary)","92","No"
"Translational Neurodegeneration","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://translationalneurodegeneration.biomedcentral.com/","2103","3.85","Q1 (Cellular and Molecular Neuroscience; Cognitive Neuroscience; Neurology)","67","No"
"Translational Psychiatry","Neurology and Psychiatry","Springer Nature","For-profit","OA","","","Germany","https://www.nature.com/tp/","3568","2.453","Q1 (Biological Psychiatry; Cellular and Molecular Neuroscience; Psychiatry and Mental Health)","137","No"
"Translational Stroke Research","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany/UK","https://link.springer.com/journal/12975","3635","1.546","Q1 (Cardiology and Cardiovascular Medicine; Neurology; Neuroscience)","79","No"
"World Psychiatry","Neurology and Psychiatry","John Wiley & Sons","For-profit","OA","","","USA","https://onlinelibrary.wiley.com/journal/20515545?journalRedirectCheck=true","","18.419","Q1 (Psychiatry and Mental Health)","153","No"
"npj Gut and Liver","Physiology","Springer Nature","For-profit","Hybrid","","","UK","https://www.nature.com/npjgutliver/","2390","","","","No"
