Journal,Field,Publisher,Publisher type,Business model,Institution,Institution type,Country,Website,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
Comparative Parasitology,health,BioOne,Non-profit,Subscription,Helminthological Society of Washington,Society,USA,https://bioone.org/journals/comparative-parasitology,,0.209,"Q4 (Ecology, Evolution, Behavior and Systematics; Parasitology)",34,No
Ecohealth,health,Springer Nature,For-profit,Hybrid,EcoHealth Alliance,other,Germany / UK,https://www.springer.com/journal/10393,2220,0.546,Q2 (Ecology),76,No
Emerging Infectious Diseases,health,Centers for Disease Control and Prevention,Non-profit,OA diamond,Centers for Disease Control and Prevention,other,USA,https://wwwnc.cdc.gov/eid/,0,1.879,Q1 (Epidemiology; Infectious Diseases; Microbiology),277,No
Eurosurveillance,health,European Centre for Disease Prevention and Control,Non-profit,OA diamond,European Centre for Disease Prevention and Control,Uni/Gov,Sweden,https://www.eurosurveillance.org/,0,2.331,"Q1 (Epidemiology; Infectious Diseases; Medicine; Microbiology; Public Health, Environmental and Occupational Health; Virology)",137,No
Evolution Medicine and Public Health,health,Oxford University Press (OUP),University Press Society-Run,OA,International Society for Evolution Medicine and Public Health,Society,UK,https://academic.oup.com/emph,2894,0.835,"Q1 (Ecology, Evolution, Behavior and Systematics)",36,No
Folia Parasitologica,health,Czech Academy of Sciences,Non-profit,OA,Czech Academy of Sciences,Uni/Gov,,https://folia.paru.cas.cz/,164,0.459,Q2 (Parasitology),51,No
GeoHealth,health,John Wiley & Sons,Non-profit,OA,American Geophysical Union (AGU),Society,USA,https://agupubs.onlinelibrary.wiley.com/journal/24711403,1972,1.308,"Q1 (Epidemiology; Health, Toxicology and Mutagenesis; Management, Monitoring, Policy and Law; Pollution; Public Health, Environmental and Occupational Health; Waste Management and Disposal; Water Science and Technology)",40,No
International Journal for Parasitology,health,Elsevier,For-profit Society-Run,Hybrid,Australian Society for Parasitology,Society,Netherlands,https://www.journals.elsevier.com/international-journal-for-parasitology,1949,1.153,Q1 (Infectious Diseases; Parasitology),163,No
International Journal for Parasitology: Parasites and Wildlife,health,Elsevier,For-profit Society-Run,Hybrid,Australian Society for Parasitology,Society,Netherlands,https://www.journals.elsevier.com/international-journal-for-parasitology-parasites-and-wildlife,1898,0.618,Q1 (Animal Science and Zoology),44,No
International Journal of Epidemiology,health,Oxford University Press (OUP),University Press,Hybrid,International Epidemiological Association,Non-profit,UK,https://academic.oup.com/ije,2975,2.695,Q1 (Epidemiology; Medicine),256,No
International Journal of Infectious Diseases,health,Elsevier,For-profit Society-Run,Hybrid,International Society for Infectious Diseases,Society,Netherlands,https://www.journals.elsevier.com/international-journal-of-infectious-diseases,1530,1.323,Q1 (Infectious Diseases; Medicine; Microbiology),140,No
Journal of Global Health,health,Edinburgh University Global Health Society,Non-profit,OA,Edinburgh University Global Health Society,Society,USA,https://www.jogh.org/,2085,1.172,"Q1 (Health Policy; Public Health, Environmental and Occupational Health)",71,No
Journal of Medical Entomology,health,Oxford University Press (OUP),University Press Society-Run,Hybrid,Entomological Society of America,Society,UK,https://academic.oup.com/jme,2476,0.771,Q1 (Insect Science; Parasitology; Veterinary),119,No
Journal of Parasitology,health,Allen Press,For-profit Society-Run,OA,American Society of Parasitologists,Society,,https://meridian.allenpress.com/journal-of-parasitology,1114,0.397,"Q3 (Ecology, Evolution, Behavior and Systematics; Medicine; Parasitology)",105,No
Journal of Vector Ecology,health,John Wiley & Sons,For-profit Society-Run,OA,Society for Vector Ecology,Society,USA,https://onlinelibrary.wiley.com/journal/19487134,440,0.403,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",61,No
Journal of Virology,health,American Society for Microbiology (ASM),Non-profit,Hybrid,American Society for Microbiology,Society,USA,https://jvi.asm.org/,2615,1.283,Q1 (Insect Science; Microbiology; Virology),330,No
Journal of Wildlife Diseases,health,Wildlife Disease Association,Non-profit,Hybrid,Wildlife Disease Association,Society,,https://www.jwildlifedis.org/,1403,0.443,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)",81,No
Journals of Gerontology - Series A Biological Sciences and Medical Sciences,health,Oxford University Press (OUP),University Press Society-Run,Hybrid,The Gerontological Society of America,Society,UK,https://academic.oup.com/biomedgerontology,3126,1.334,Q1 (Geriatrics and Gerontology),230,No
Medical and Veterinary Entomology,health,John Wiley & Sons,For-profit Society-Run,Hybrid,Royal Entomological Society,Society,USA,https://www.royensoc.co.uk/shop/publications/journals/medical-and-veterinary-entomology/,2730,0.624,Q1 (Insect Science; Veterinary),95,No
Mycopathologia,health,Springer Nature,For-profit Society-Run,Hybrid,International Union of Microbiological Societies,Society,Germany / UK,https://www.springer.com/journal/11046,2890,0.588,Q1 (Agronomy and Crop Science; Veterinary),90,No
One Health,health,Elsevier,For-profit Society-Run,OA,International Federation for Tropical Medicine,Society,Netherlands,https://www.sciencedirect.com/journal/one-health,1589,1.202,"Q1 (Infectious Diseases; Public Health, Environmental and Occupational Health)",43,No
Parasite,health,EDP Science,For-profit,OA,EDP Science,Non-profit,France,https://www.parasite-journal.org,1082,0.65,Q1 (Agricultural and Biological Sciences; Animal Science and Zoology; Insect Science; Veterinary),58,No
Parasites Hosts and Diseases,health,The Korean Society for Parasitology and Tropical Medicine,University Press Society-Run,OA,The Korean Society for Parasitology and Tropical Medicine,Society,,https://www.parahostdis.org/authors/authors.php,920,0.403,Q3 (Infectious Diseases; Parasitology),51,No
Parasitology International,health,Elsevier,For-profit Society-Run,OA,Japanese Society of Parasitology,Society,Netherlands,https://www.sciencedirect.com/journal/parasitology-international,2903,0.54,Q2 (Parasitology),71,No
Peer Community In Health and Movement Science,health,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://healthmovsci.peercommunityin.org/,0,,,,PCI
Peer Community In Infections,health,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://infections.peercommunityin.org/,0,,,,PCI
PLoS Neglected Tropical Diseases,health,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/plosntds/,2236,1.37,"Q1 (Infectious Diseases; Pharmacology, Toxicology and Pharmaceutics; Public Health, Environmental and Occupational Health)",172,No
PLoS Pathogens,health,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/plospathogens/,2444,1.987,Q1 (Genetics; Immunology; Microbiology; Molecular Biology; Parasitology; Virology),260,No
Transboundary and Emerging Diseases,health,John Wiley & Sons,For-profit Society-Run,OA,Society for Tropical Veterinary Medicine,Society,USA,https://onlinelibrary.wiley.com/journal/18651682,3421,0.919,Q1 (Immunology and Microbiology; Medicine; Veterinary),92,No
Tropical Medicine and Infectious Disease,health,MDPI,For-profit Society-Run,OA,Australasian College of Tropical Medicine,Society,Switzerland,https://www.mdpi.com/journal/tropicalmed,1627,0.817,"Q2 (Immunology and Microbiology; Infectious Diseases; Public Health, Environmental and Occupational Health)",46,No
Cryptogamie Mycologie,microbiology,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/periodiques/mycologie,0,0.798,"Q1 (Ecology, Evolution, Behavior and Systematics)",36,PCI friendly
FEMS Microbiology Ecology,microbiology,Oxford University Press (OUP),For-profit Society-Run,Hybrid,Federation of European Microbiological Societies,Society,UK,https://academic.oup.com/femsec,2503,1.129,Q1 (Applied Microbiology and Biotechnology; Ecology; Microbiology),192,No
Fungal Biology,microbiology,Elsevier,For-profit Society-Run,Hybrid,British Mycological Society,Society,Netherlands,https://www.sciencedirect.com/journal/fungal-biology,1856,0.572,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",123,No
Fungal Biology Reviews,microbiology,Elsevier,For-profit Society-Run,Subscription,British Mycological Society,Society,Netherlands,https://www.sciencedirect.com/journal/fungal-biology-reviews,3292,1.099,Q1 (Plant Science),72,No
Fungal Diversity,microbiology,Springer Nature,For-profit,Hybrid,Kunming Institute of Botany of the Chinese Academy of Sciences,Uni/Gov,Germany / UK,https://www.springer.com/journal/13225,2640,6.546,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",136,No
Fungal Ecology,microbiology,Elsevier,For-profit Society-Run,Subscription,British Mycological Society,Society,Netherlands,https://www.sciencedirect.com/journal/fungal-ecology,2853,0.633,"Q2 (Ecological Modeling; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",78,No
IMA Fungus,microbiology,Springer Nature,For-profit Society-Run,OA,International Mycological Association,Society,Bulgaria,https://imafungus.biomedcentral.com/,1186,1.206,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics; Plant Science)",53,No
International Journal of Systematic and Evolutionary Microbiology,microbiology,Microbiology Society,Non-profit,Hybrid,International Union of Microbiological Societies,Society,,https://www.microbiologyresearch.org/content/journal/ijsem,2478,0.749,"Q1 (Ecology, Evolution, Behavior and Systematics)",205,No
ISME Communications,microbiology,Springer Nature,For-profit Society-Run,OA,International Society for Microbial Ecology,Society,UK,https://www.nature.com/ismecomms/,2207,,,,No
ISME Journal,microbiology,Springer Nature,For-profit Society-Run,Hybrid,International Society for Microbial Ecology,Society,UK,https://www.nature.com/ismej/,3230,3.973,"Q1 (Ecology, Evolution, Behavior and Systematics; Microbiology)",251,No
Italian Journal of Mycology,microbiology,Edizioni ETS,University Press Society-Run,Subscription,Mycological Society,Society,Italy,https://italianmycology.unibo.it/,,0.264,"Q3 (Applied Microbiology and Biotechnology; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",7,No
Journal of Applied Microbiology,microbiology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Applied Microbiology,Society,USA,https://sfamjournals.onlinelibrary.wiley.com/journal/13652672,2309,0.779,Q2 (Applied Microbiology and Biotechnology; Biotechnology; Medicine),195,PCI friendly
Journal of Eukaryotic Microbiology,microbiology,John Wiley & Sons,For-profit Society-Run,Hybrid,International Society of Protistologists,Society,USA,https://onlinelibrary.wiley.com/journal/15507408,2474,0.716,Q2 (Microbiology),91,No
Journal of General Virology,microbiology,Microbiology Society,Non-profit,Hybrid,Microbiology Society,Society,,https://www.microbiologyresearch.org/content/journal/jgv,2448,1.07,Q2 (Virology),193,No
Journal of Microbiology and Biotechnology,microbiology,Korean Society for Microbiology and Biotechnology,Non-profit,OA,Korean Society for Microbiology and Biotechnology,Society,,https://www.jmb.or.kr/main.html,574,0.684,Q2 (Applied Microbiology and Biotechnology; Biotechnology; Medicine),89,No
Letters in Applied Microbiology,microbiology,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Applied Microbiology,Society,USA,https://sfamjournals.onlinelibrary.wiley.com/journal/1472765x,2604,0.543,Q3 (Applied Microbiology and Biotechnology),133,PCI friendly
mBio,microbiology,American Society for Microbiology (ASM),Non-profit,OA,American Society for Microbiology,Society,USA,https://mbio.asm.org/,3111,1.885,Q1 (Microbiology; Virology),180,No
Microbiology,microbiology,Microbiology Society,Non-profit,Hybrid,Microbiology Society,Society,UK,https://www.microbiologyresearch.org/content/journal/jgv,2594,0.953,Q2 (Microbiology),208,No
Microbiology Resource Announcements,microbiology,American Society for Microbiology (ASM),Non-profit,OA,American Society for Microbiology,Society,,https://mra.asm.org/,1009,0.266,Q3 (Immunology and Microbiology),48,No
Microbiology Spectrum,microbiology,American Society for Microbiology (ASM),Non-profit,OA,American Society for Microbiology,Society,USA,https://journals.asm.org/journal/spectrum,2519,1.149,Q1 (Ecology; Immunology and Microbiology; Infectious Diseases; Microbiology; Physiology),98,No
mSphere,microbiology,American Society for Microbiology (ASM),Non-profit,OA,American Society for Microbiology,Society,USA,https://journals.asm.org/journal/msphere,2914,1.237,Q1 (Microbiology),77,No
mSystems,microbiology,American Society for Microbiology (ASM),Non-profit,OA,American Society for Microbiology,Society,USA,https://journals.asm.org/journal/msystems,3195,1.558,"Q1 (Biochemistry; Computer Science Applications; Ecology, Evolution, Behavior and Systematics; Genetics; Microbiology; Modeling and Simulation; Molecular Biology; Physiology)",89,No
Mycologia,microbiology,Taylor & Francis Group,For-profit Society-Run,Subscription,Mycological Society of America,Society,UK,https://www.tandfonline.com/journals/umyc20,1806,0.799,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",131,No
Mycological Progress,microbiology,Springer Nature,For-profit Society-Run,Hybrid,German Mycological Society,Society,Germany / UK,https://www.springer.com/journal/11557,2640,0.814,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics; Plant Science)",53,No
Mycosphere,microbiology,Zhongkai University of Agriculture and Engineering,Non-profit,OA diamond,Zhongkai University of Agriculture and Engineering,Uni/Gov,Thailand,https://www.mycosphere.org/,0,3.903,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",47,No
Peer Community In Microbiology,microbiology,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://microbiol.peercommunityin.org/,0,,,,PCI
Persoonia: Molecular Phylogeny and Evolution of Fungi,microbiology,Naturalis Biodiversity Center,Non-profit,OA diamond,Naturalis Biodiversity Center and the Westerdijk Fungal Biodiversity Institute,Uni/Gov,,https://www.persoonia.org/,0,2.674,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",90,No
Virologie,microbiology,John Libbey,For-profit Society-Run,Hybrid,Societe Francaise de Virologie,Society,,https://www.jle.com/fr/revues/vir/revue.phtml,333,0.166,Q4 (Infectious Diseases; Virology),13,No
Acta Palaeobotanica,paleo_geo,Acta Palaeobotanica,Non-profit,OA diamond,Polish Academy of Sciences,Uni/Gov,Poland,https://acpa.botany.pl/,0,0.228,Q3 (Agricultural and Biological Sciences; Earth and Planetary Sciences),30,No
Acta Palaeontologica Polonica,paleo_geo,Acta Palaeontologica Polonica,Non-profit,OA diamond,Polish Academy of Sciences,Uni/Gov,Poland,https://www.app.pan.pl/home.html,0,0.665,Q1 (Paleontology),65,No
Alcheringa,paleo_geo,Taylor & Francis Group,For-profit Society-Run,Hybrid,Australasian Palaeontologists,Society,UK,https://www.tandfonline.com/toc/talc20/current,3170,0.541,"Q2 (Ecology, Evolution, Behavior and Systematics; Paleontology)",38,No
Alpine and Mediterranean Quaternary,paleo_geo,Italian Association for Quaternary Research,Non-profit,OA diamond,Italian Association for Quaternary Research,Society,Italy,https://amq.aiqua.it/,0,0.763,Q1 (Archeology; Earth-Surface Processes; Geology; Paleontology),35,No
Ameghiniana,paleo_geo,Ameghiniana,Non-profit,Hybrid,Argentinian Association of Paleontology,Society,,https://ameghiniana.org.ar/index.php/ameghiniana,300,0.525,"Q2 (Ecology, Evolution, Behavior and Systematics; Paleontology)",46,No
American Museum Novitates,paleo_geo,American Museum of Natural History,Non-profit,OA diamond,American Museum of Natural History,Museum,,https://hdl.handle.net/2246/9,0,0.441,Q1 (Archeology; History; Museology),45,No
Andean Geology,paleo_geo,Servicio Nacional de Geologia y Mineria de Chile,Non-profit,OA diamond,Sociedad Geologica de Chile,Society,Chile,https://www.andeangeology.cl/index.php/revista1/index,0,0.425,Q2 (Geology; Stratigraphy),46,No
Basin Research,paleo_geo,John Wiley & Sons,For-profit Society-Run,Hybrid,International Association of Sedimentologists / European Association of Geoscientists and Engineers.,Society,USA,https://onlinelibrary.wiley.com/journal/13652117,2105,1.165,Q1 (Geology),101,No
Biogeosciences,paleo_geo,Copernicus Publications,For-profit Society-Run,OA,European Geosciences Union,Society,Germany,https://www.biogeosciences.net/,1809,1.645,"Q1 (Earth-Surface Processes; Ecology, Evolution, Behavior and Systematics)",171,No
Boreas,paleo_geo,John Wiley & Sons,For-profit Society-Run,OA,Collegium Boreas,Society,USA,https://onlinelibrary.wiley.com/journal/15023885,2551,0.922,"Q1 (Archeology; Ecology, Evolution, Behavior and Systematics; Geology)",87,No
Bulletin de la Societe Geologique de France,paleo_geo,EDP Science,For-profit Society-Run,OA,Societe Geologique de France,Society,,https://www.bsgf.fr/fr/,594,0.88,,,No
Bulletin of Geosciences,paleo_geo,Bulletin of Geosciences,Non-profit,OA diamond,West Bohemia Museum,Museum,,https://www.geology.cz/bulletin/,0,0.62,Q2 (Earth and Planetary Sciences; Environmental Science),42,No
Bulletin of the American Museum of Natural History,paleo_geo,American Museum of Natural History,Non-profit,OA diamond,American Museum of Natural History,Museum,,https://hdl.handle.net/2246/7,0,1.259,Q1 (Agricultural and Biological Sciences; Ecology),64,No
Climate of the Past,paleo_geo,Copernicus Publications,For-profit Society-Run,OA,European Geosciences Union,Society,Germany,https://www.climate-of-the-past.net/,1724,1.623,Q1 (Global and Planetary Change; Paleontology; Stratigraphy),102,No
Comptes Rendus Geoscience,paleo_geo,Academie des Sciences,Non-profit,OA diamond,Academie des Sciences,Uni/Gov,France,https://comptes-rendus.academie-sciences.fr/geoscience,0,0.568,Q2 (Earth and Planetary Sciences),98,No
Comptes Rendus Palevol,paleo_geo,Academie des Sciences,Non-profit,OA diamond,Academie des Sciences,Uni/Gov,,https://sciencepress.mnhn.fr/fr/periodiques/comptes-rendus-palevol,0,0.419,Q3 (Paleontology),58,PCI friendly
EOS,paleo_geo,American Geophysical Union,Non-profit,Subscription,American Geophysical Union,Society,,https://eos.org/,,0.128,Q4 (Earth and Planetary Sciences),102,No
Fossil Record,paleo_geo,Pensoft,For-profit,OA,Museum fur Naturkunde Berlin,Museum,Germany,https://fr.pensoft.net/,818,0.536,Q2 (Paleontology),26,No
Geochemical Perspectives,paleo_geo,European Association of Geochemistry,Non-profit,OA diamond,European Association of Geochemistry,Society,,https://www.geochemicalperspectives.org/,0,0.591,Q2 (Geochemistry and Petrology; Geology),16,No
Geochemical Perspectives Letters,paleo_geo,European Association of Geochemistry,Non-profit,OA diamond,European Association of Geochemistry,Society,Netherlands,https://www.geochemicalperspectivesletters.org/,0,1.691,Q1 (Environmental Chemistry; Geochemistry and Petrology; Geology),43,No
Geodiversitas,paleo_geo,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/periodiques/geodiversitas,0,0.664,Q1 (Paleontology),47,PCI friendly
Geologica Acta,paleo_geo,Revistes Cientifiques de la Universitat de Barcelona,Non-profit,OA diamond,Universitat de Barcelona,Uni/Gov,Spain,https://revistes.ub.edu/index.php/GEOACTA/index,0,0.418,Q2 (Geology),54,No
Geologues,paleo_geo,Societe Geologique de France,Non-profit,Subscription,Societe Geologique de France,Society,,https://www.geosoc.fr/publication/geologues.html,,,,,No
Geology,paleo_geo,GeoScienceWorld,Non-profit,Hybrid,Geological Society of America,Society,,https://www.geosociety.org/gsa/pubs/geology/home.aspx,2170,2.131,Q1 (Geology),259,No
Geology Ecology and Landscapes,paleo_geo,Taylor & Francis Group,For-profit Society-Run,OA,International Water Air and Soil Conservation Society,Society,UK,https://www.tandfonline.com/journals/tgel20,,0.727,Q1 (Geology; Nature and Landscape Conservation),29,No
Geophysical Research Letters,paleo_geo,John Wiley & Sons,For-profit Society-Run,OA,American Geophysical Union,Society,USA,https://agupubs.onlinelibrary.wiley.com/journal/19448007,2191,1.802,Q1 (Earth and Planetary Sciences; Geophysics),337,No
Geoscience Frontiers,paleo_geo,Elsevier,For-profit,OA,China University of Geosciences / Peking University,Uni/Gov,Netherlands,https://www.journals.elsevier.com/geoscience-frontiers,2780,2.111,Q1 (Earth and Planetary Sciences),100,No
Geosphere,paleo_geo,GeoScienceWorld,Non-profit,OA,Geological Society of America,Society,USA,https://www.geosociety.org/GSA/Publications/Journals/Geosphere/GSA/Pubs/geosphere/home.aspx,1833,1.216,Q1 (Geology; Stratigraphy),84,No
GSA Bulletin,paleo_geo,GeoScienceWorld,Non-profit,Hybrid,Geological Society of America,Society,,https://www.geosociety.org/GSA/Publications/Journals/Bulletin/GSA/Pubs/bulletin/home.aspx,2790,2.17,,,No
International Journal of Speleology,paleo_geo,Societa Speleologica Italiana,Non-profit,OA diamond,Union Internationale de Speleologie,Society,USA,https://scholarcommons.usf.edu/ijs/,0,0.383,Q2 (Earth-Surface Processes; Geology),43,No
Journal of African Earth Sciences,paleo_geo,Elsevier,For-profit Society-Run,Hybrid,Geological Society of Africa,Society,Netherlands,https://www.journals.elsevier.com/journal-of-african-earth-sciences,2395,0.584,Q2 (Earth-Surface Processes; Geology),101,No
Journal of Cave and Karst Studies,paleo_geo,National Speleological Society,Non-profit,OA diamond,National Speleological Society,Society,,https://caves.org/journal-of-cave-and-karst-studies/,0,0.218,Q3 (Earth-Surface Processes),49,No
Journal of Geophysical Research: Biogeosciences,paleo_geo,John Wiley & Sons,For-profit Society-Run,OA,American Geophysical Union,Society,USA,https://agupubs.onlinelibrary.wiley.com/journal/21698961,2633,1.432,Q1 (Aquatic Science; Atmospheric Science; Ecology; Forestry; Paleontology; Soil Science; Water Science and Technology),89,No
Journal of Iberian Geology,paleo_geo,Springer Nature,For-profit,Hybrid,Universidad Complutense de Madrid,Uni/Gov,Germany / UK,https://www.springer.com/journal/41513,2290,0.421,Q2 (Geology; Stratigraphy),34,No
Journal of Micropalaeontology,paleo_geo,Copernicus Publications,For-profit Society-Run,OA,The Geological Society,Society,Germany,https://www.journal-of-micropalaeontology.net/,1415,0.651,Q1 (Paleontology),34,No
Journal of Paleontology,paleo_geo,Cambridge University Press (CUP),University Press Society-Run,Hybrid,Paleontological Society,Society,UK,https://www.cambridge.org/core/journals/journal-of-paleontology,1500,0.647,Q2 (Paleontology),74,No
Journal of Quaternary Science,paleo_geo,John Wiley & Sons,For-profit Society-Run,Hybrid,Quaternary Research Association,Society,USA,https://onlinelibrary.wiley.com/journal/10991417,2003,0.761,Q1 (Arts and Humanities; Earth and Planetary Sciences; Paleontology),108,No
Journal of Stratigraphy and Sedimentology Researches,paleo_geo,University of Isfahan,Non-profit,OA,University of Isfahan,Uni/Gov,"Iran, Islamic Republic of",https://jssr.ui.ac.ir/?lang=en,0,0.189,Q4 (Earth and Planetary Sciences; Geology; Paleontology; Stratigraphy),3,No
Journal of Systematic Palaeontology,paleo_geo,Taylor & Francis Group,For-profit,Hybrid,Natural History Museum,Museum,UK,https://www.tandfonline.com/toc/tjsp20/current,1319,0.808,Q1 (Paleontology),60,No
Journal of the Geological Society (of London),paleo_geo,Geological Society of London,Non-profit,Subscription,Geological Society of London,Society,,https://www.geolsoc.org.uk/Publications/Journals/Journal-of-the-Geological-Society,2204,1.096,Q1 (Geology),135,No
Journal of Vertebrate Paleontology,paleo_geo,Taylor & Francis Group,For-profit Society-Run,Hybrid,Society of Vertebrate Paleontology,Society,UK,https://vertpaleo.org/journal-of-vertebrate-paleontology/,1304,0.651,Q1 (Paleontology),94,No
Micropaleontology,paleo_geo,Micropress,Non-profit,Subscription,The Micropaleotology Project,Non-profit,,https://www.micropress.org/micropaleontology.html,333,0.522,Q2 (Paleontology),50,No
MorphoMuseum,paleo_geo,Institut des Sciences de l'Evolution de Montpellier,Non-profit,OA diamond,Institut des Sciences de l'Evolution de Montpellier,Uni/Gov,,https://morphomuseum.com/,0,,,,No
Palaeoentomology,paleo_geo,Magnolia Press,Non-profit,OA diamond,International Palaeoentomological Society,Society,,https://www.mapress.com/pe/about,0,0.596,Q1 (Insect Science),16,No
Palaeontologia Electronica,paleo_geo,Coquina Press,Non-profit,OA diamond,Paleontological Society / Palaeontological Association / Society of Vertebrate Paleontology / Western Interior Paleontological Society,Society,USA,https://palaeo-electronica.org/content/,0,0.617,Q2 (Oceanography; Paleontology),49,No
Palaeontology,paleo_geo,John Wiley & Sons,For-profit Society-Run,Hybrid,Palaeontological Association,Society,USA,https://onlinelibrary.wiley.com/journal/14754983,2356,0.862,"Q1 (Ecology, Evolution, Behavior and Systematics; Paleontology)",78,No
PalaeoVertebrata,paleo_geo,Institut des Sciences de l'Evolution de Montpellier,Non-profit,OA diamond,Institut des Sciences de l'Evolution de Montpellier,Uni/Gov,,https://www.palaeovertebrata.com/,0,,,,No
Palaeoworld,paleo_geo,Elsevier,For-profit,Hybrid,Nanjing Institute of Geology and Palaeontology,Uni/Gov,Netherlands,https://www.sciencedirect.com/journal/palaeoworld,2780,0.518,"Q2 (Ecology, Evolution, Behavior and Systematics; Paleontology; Stratigraphy)",39,No
Palaontologische Zeitschrift,paleo_geo,Springer Nature,For-profit Society-Run,Hybrid,Palaeontologische Gesellschaft,Society,Germany / UK,https://www.springer.com/journal/12542,2640,0.684,Q1 (Paleontology),36,No
Paleobiology,paleo_geo,Cambridge University Press (CUP),University Press Society-Run,Hybrid,Palaeontological Society,Society,UK,https://www.cambridge.org/core/journals/paleobiology,2019,1.009,"Q1 (Agricultural and Biological Sciences; Ecology; Ecology, Evolution, Behavior and Systematics; Paleontology)",106,No
Paleoceanography and Paleoclimatology,paleo_geo,John Wiley & Sons,For-profit Society-Run,Hybrid,American Geophysical Union,Society,USA,https://agupubs.onlinelibrary.wiley.com/journal/25724525,2745,1.619,Q1 (Atmospheric Science; Oceanography; Paleontology),149,No
Paleontological Research,paleo_geo,Palaeontological Society of Japan,Non-profit,Subscription,Palaeontological Society of Japan,Society,,https://www.palaeo-soc-japan.jp/en/publications/pr/,,0.523,"Q2 (Ecology, Evolution, Behavior and Systematics; Paleontology)",31,No
Papers in Palaeontology,paleo_geo,John Wiley & Sons,For-profit Society-Run,Hybrid,Palaeontological Association,Society,USA,https://onlinelibrary.wiley.com/journal/20562802,2170,0.957,Q1 (Paleontology),27,No
Peer Community In Paleontology,paleo_geo,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://paleo.peercommunityin.org/about/about,0,,,,PCI
Proceedings of the Geologists Association,paleo_geo,Elsevier,For-profit Society-Run,Hybrid,Geologists' Association,Society,Netherlands,https://www.journals.elsevier.com/proceedings-of-the-geologists-association,3405,0.391,Q2 (Geology),50,No
Quaternaire,paleo_geo,OpenEdition,Non-profit,Subscription,Association Francaise pour l Etude du Quaternaire / CNRS,Society,,https://journals.openedition.org/quaternaire/,,0.218,Q3 (Earth-Surface Processes),36,PCI friendly
Quaternary International,paleo_geo,Elsevier,For-profit Society-Run,Hybrid,International Union for Quaternary Research,Society,Netherlands,https://www.journals.elsevier.com/quaternary-international,1925,0.682,Q2 (Earth-Surface Processes),131,No
Revista Brasileira de Paleontologia,paleo_geo,Sociedade Brasileira de Paleontologia,Non-profit,OA diamond,Sociedade Brasileira de Paleontologia,Society,,https://sbpbrasil.org/publications/index.php/rbp/index,0,0.385,Q3 (Paleontology),23,No
Revue de Paleobiologie,paleo_geo,Museum d'Histoire Naturelle de la Ville de Geneve,Non-profit,Subscription,Museum d'Histoire Naturelle de la Ville de Geneve,Museum,,https://institutions.ville-geneve.ch/fr/mhn/frontpage/revue-de-paleobiologie/,,0.147,"Q4 (Ecology, Evolution, Behavior and Systematics; Paleontology)",37,No
Rivista Italiana di Paleontologia e Stratigrafia,paleo_geo,Milano University Press,University Press,OA diamond,Universita degli Studi di Milano,Uni/Gov,Italy,https://riviste.unimi.it/index.php/RIPS,0,0.621,Q2 (Geology; Paleontology; Stratigraphy),45,No
Scientific Drilling,paleo_geo,Copernicus Publications,For-profit,OA diamond,International Continental Scientific Drilling Program / International Ocean Discovery Program,other,Germany,https://www.scientific-drilling.net/,0,0.782,Q1 (Mechanical Engineering),30,No
Smithsonian Contributions to Paleobiology,paleo_geo,Smithsonian Scholarly Press,Non-profit,OA diamond,Smithsonian Institution,Museum,,https://repository.si.edu/handle/10088/1777,0,,,,No
Spanish Journal of Palaeontology,paleo_geo,Palaeontological Spanish Society,Non-profit,OA diamond,Palaeontological Spanish Society,Society,Spain,https://sepaleontologia.es/spanish-journal-palaeontology/,0,0.276,Q3 (Paleontology),15,No
